,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1251889000.0,939988000.0,604898000.0,440218000.0,
Repurchase Of Capital Stock,-1325995000.0,-990452000.0,-835019000.0,-161809000.0,
Issuance Of Capital Stock,,,,,0.0
Capital Expenditure,-32375000.0,-24606000.0,-8063000.0,-28984000.0,
Income Tax Paid Supplemental Data,22376000.0,25018000.0,19173000.0,10008000.0,
End Cash Position,975362000.0,1141221000.0,1368532000.0,1617660000.0,
Beginning Cash Position,1141221000.0,1368532000.0,1617660000.0,1427064000.0,
Effect Of Exchange Rate Changes,2301000.0,-2569000.0,1667000.0,-1434000.0,
Changes In Cash,-168160000.0,-224742000.0,-250795000.0,192030000.0,
Financing Cash Flow,-1317942000.0,-968319000.0,-826763000.0,-148927000.0,
Cash Flow From Continuing Financing Activities,-1317942000.0,-968319000.0,-826763000.0,-148927000.0,
Net Other Financing Charges,,,,,-1750000.0
Proceeds From Stock Option Exercised,8053000.0,22133000.0,8256000.0,12882000.0,
Net Common Stock Issuance,-1325995000.0,-990452000.0,-835019000.0,-161809000.0,
Common Stock Payments,-1325995000.0,-990452000.0,-835019000.0,-161809000.0,
Common Stock Issuance,,,,,0.0
Investing Cash Flow,-134482000.0,-221017000.0,-36993000.0,-128245000.0,
Cash Flow From Continuing Investing Activities,-134482000.0,-221017000.0,-36993000.0,-128245000.0,
Net Investment Purchase And Sale,-102107000.0,-196411000.0,-28930000.0,-13202000.0,
Sale Of Investment,1464837000.0,1313602000.0,1279090000.0,1015278000.0,
Purchase Of Investment,-1566944000.0,-1510013000.0,-1308020000.0,-1028480000.0,
Net Business Purchase And Sale,,0.0,0.0,-86059000.0,-36914000.0
Purchase Of Business,,0.0,0.0,-86059000.0,-36914000.0
Net PPE Purchase And Sale,-32375000.0,-24606000.0,-8063000.0,-28984000.0,
Purchase Of PPE,-32375000.0,-24606000.0,-8063000.0,-28984000.0,
Operating Cash Flow,1284264000.0,964594000.0,612961000.0,469202000.0,
Cash Flow From Continuing Operating Activities,1284264000.0,964594000.0,612961000.0,469202000.0,
Change In Working Capital,-51924000.0,-57442000.0,-124614000.0,39470000.0,
Change In Other Current Liabilities,-33180000.0,-39480000.0,-66507000.0,-52832000.0,
Change In Other Current Assets,30895000.0,32711000.0,55324000.0,56024000.0,
Change In Payables And Accrued Expense,58261000.0,95460000.0,-52510000.0,95659000.0,
Change In Accrued Expense,15359000.0,91632000.0,-43249000.0,24882000.0,
Change In Payable,42902000.0,3828000.0,-9261000.0,70777000.0,
Change In Account Payable,42902000.0,3828000.0,-9261000.0,70777000.0,
Change In Prepaid Assets,-3502000.0,-17187000.0,19861000.0,-30525000.0,
Change In Receivables,-104398000.0,-128946000.0,-80782000.0,-28856000.0,
Changes In Account Receivables,-104398000.0,-128946000.0,-80782000.0,-28856000.0,
Other Non Cash Items,21343000.0,2320000.0,10236000.0,-13851000.0,
Stock Based Compensation,880463000.0,765795000.0,647860000.0,497123000.0,
Asset Impairment Charge,0.0,0.0,117315000.0,0.0,
Amortization Of Securities,-18092000.0,-29017000.0,-21897000.0,-638000.0,
Deferred Tax,10468000.0,-1600434000.0,-1838000.0,-3344000.0,
Deferred Income Tax,10468000.0,-1600434000.0,-1838000.0,-3344000.0,
Depreciation Amortization Depletion,25151000.0,21266000.0,21509000.0,46489000.0,
Depreciation And Amortization,25151000.0,21266000.0,21509000.0,46489000.0,
Net Income From Continuing Operations,416855000.0,1862106000.0,-35610000.0,-96047000.0,
