,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,171000000.0,272000000.0,187000000.0,280000000.0,141000000.0,
Repurchase Of Capital Stock,-1114000000.0,-62000000.0,-121000000.0,-89000000.0,-5000000.0,
Issuance Of Capital Stock,,,,,0.0,
Capital Expenditure,-12000000.0,-15000000.0,-16000000.0,-18000000.0,-12000000.0,
Income Tax Paid Supplemental Data,2000000.0,-1000000.0,21000000.0,21000000.0,0.0,
End Cash Position,827000000.0,1833000000.0,1625000000.0,1703000000.0,1449000000.0,
Beginning Cash Position,1833000000.0,1625000000.0,1703000000.0,1449000000.0,1441000000.0,
Effect Of Exchange Rate Changes,0.0,-1000000.0,4000000.0,1000000.0,-7000000.0,
Changes In Cash,-1006000000.0,209000000.0,-82000000.0,253000000.0,15000000.0,
Financing Cash Flow,-1146000000.0,-70000000.0,-129000000.0,-46000000.0,-57000000.0,
Cash Flow From Continuing Financing Activities,-1146000000.0,-69000000.0,-129000000.0,-46000000.0,-57000000.0,
Net Other Financing Charges,-32000000.0,-10000000.0,-10000000.0,39000000.0,-56000000.0,
Proceeds From Stock Option Exercised,0.0,2000000.0,2000000.0,4000000.0,4000000.0,
Net Preferred Stock Issuance,,,,,0.0,
Preferred Stock Issuance,,,,,0.0,
Net Common Stock Issuance,-1114000000.0,-62000000.0,-121000000.0,-89000000.0,-5000000.0,
Common Stock Payments,-1114000000.0,-62000000.0,-121000000.0,-89000000.0,-5000000.0,
Common Stock Issuance,,,,,0.0,
Investing Cash Flow,-45000000.0,-7000000.0,-157000000.0,1000000.0,-81000000.0,
Cash Flow From Continuing Investing Activities,-45000000.0,-7000000.0,-158000000.0,1000000.0,-81000000.0,
Net Other Investing Changes,,,,,0.0,-2000000.0
Net Investment Purchase And Sale,-28000000.0,8000000.0,-36000000.0,19000000.0,-69000000.0,
Sale Of Investment,22000000.0,94000000.0,46000000.0,81000000.0,16000000.0,
Purchase Of Investment,-50000000.0,-86000000.0,-82000000.0,-62000000.0,-85000000.0,
Net Business Purchase And Sale,-1000000.0,0.0,,,,0.0
Purchase Of Business,-1000000.0,0.0,,,,0.0
Net PPE Purchase And Sale,-12000000.0,-15000000.0,-16000000.0,-18000000.0,-12000000.0,
Purchase Of PPE,-12000000.0,-15000000.0,-16000000.0,-18000000.0,-12000000.0,
Operating Cash Flow,183000000.0,287000000.0,203000000.0,298000000.0,153000000.0,
Cash Flow From Continuing Operating Activities,185000000.0,286000000.0,203000000.0,298000000.0,153000000.0,
Change In Working Capital,-61000000.0,-47000000.0,-49000000.0,96000000.0,-109000000.0,
Change In Other Working Capital,-8000000.0,0.0,1000000.0,17000000.0,-9000000.0,
Change In Other Current Liabilities,0.0,-3000000.0,-2000000.0,-4000000.0,-11000000.0,
Change In Payables And Accrued Expense,109000000.0,-40000000.0,1000000.0,19000000.0,35000000.0,
Change In Accrued Expense,117000000.0,-49000000.0,10000000.0,22000000.0,24000000.0,
Change In Payable,-8000000.0,9000000.0,-9000000.0,-3000000.0,11000000.0,
Change In Account Payable,-8000000.0,9000000.0,-9000000.0,-3000000.0,11000000.0,
Change In Prepaid Assets,-76000000.0,0.0,18000000.0,28000000.0,-51000000.0,
Change In Receivables,-86000000.0,-4000000.0,-67000000.0,36000000.0,-73000000.0,
Changes In Account Receivables,-86000000.0,-4000000.0,-67000000.0,36000000.0,-73000000.0,
Other Non Cash Items,0.0,-10000000.0,1000000.0,6000000.0,2000000.0,
Stock Based Compensation,99000000.0,81000000.0,106000000.0,66000000.0,86000000.0,
Provisionand Write Offof Assets,3000000.0,3000000.0,5000000.0,4000000.0,3000000.0,
Asset Impairment Charge,3000000.0,,,,,
Deferred Tax,32000000.0,67000000.0,1000000.0,-2000000.0,4000000.0,
Deferred Income Tax,32000000.0,67000000.0,1000000.0,-2000000.0,4000000.0,
Depreciation Amortization Depletion,26000000.0,28000000.0,23000000.0,22000000.0,19000000.0,
Depreciation And Amortization,26000000.0,28000000.0,23000000.0,22000000.0,19000000.0,
Amortization Cash Flow,24000000.0,,,17000000.0,15000000.0,
Amortization Of Intangibles,24000000.0,,,17000000.0,15000000.0,
Depreciation,2000000.0,-33000000.0,40000000.0,5000000.0,4000000.0,
Net Income From Continuing Operations,81000000.0,144000000.0,116000000.0,106000000.0,148000000.0,
