,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,910000000.0,623000000.0,532000000.0,253000000.0,
Repurchase Of Capital Stock,-1386000000.0,-1402000000.0,-36000000.0,0.0,
Issuance Of Capital Stock,0.0,0.0,576000000.0,0.0,
Capital Expenditure,-61000000.0,-64000000.0,-54000000.0,-24000000.0,
Income Tax Paid Supplemental Data,43000000.0,13000000.0,54000000.0,3000000.0,
End Cash Position,827000000.0,1449000000.0,2293000000.0,1599000000.0,
Beginning Cash Position,1449000000.0,2293000000.0,1599000000.0,1165000000.0,
Effect Of Exchange Rate Changes,4000000.0,-11000000.0,3000000.0,-6000000.0,
Changes In Cash,-626000000.0,-833000000.0,691000000.0,440000000.0,
Financing Cash Flow,-1391000000.0,-1413000000.0,-30000000.0,46000000.0,
Cash Flow From Continuing Financing Activities,-1390000000.0,-1413000000.0,-30000000.0,46000000.0,
Net Other Financing Charges,-13000000.0,-91000000.0,-576000000.0,-3000000.0,
Proceeds From Stock Option Exercised,8000000.0,80000000.0,6000000.0,49000000.0,
Net Preferred Stock Issuance,0.0,0.0,175000000.0,0.0,
Preferred Stock Issuance,0.0,0.0,175000000.0,0.0,
Net Common Stock Issuance,-1386000000.0,-1402000000.0,365000000.0,0.0,
Common Stock Payments,-1386000000.0,-1402000000.0,-36000000.0,0.0,
Common Stock Issuance,0.0,0.0,401000000.0,0.0,
Investing Cash Flow,-208000000.0,-107000000.0,135000000.0,117000000.0,
Cash Flow From Continuing Investing Activities,-209000000.0,-107000000.0,135000000.0,117000000.0,
Net Other Investing Changes,-4000000.0,-3000000.0,-2000000.0,-2000000.0,
Net Investment Purchase And Sale,-37000000.0,-40000000.0,191000000.0,236000000.0,
Sale Of Investment,243000000.0,70000000.0,301000000.0,394000000.0,
Purchase Of Investment,-280000000.0,-110000000.0,-110000000.0,-158000000.0,
Net Business Purchase And Sale,-106000000.0,0.0,0.0,-93000000.0,
Purchase Of Business,-106000000.0,0.0,0.0,-93000000.0,
Net Intangibles Purchase And Sale,,,-2000000.0,-2000000.0,-9000000.0
Purchase Of Intangibles,,,-2000000.0,-2000000.0,-9000000.0
Net PPE Purchase And Sale,-61000000.0,-64000000.0,-54000000.0,-24000000.0,
Purchase Of PPE,-61000000.0,-64000000.0,-54000000.0,-24000000.0,
Operating Cash Flow,971000000.0,687000000.0,586000000.0,277000000.0,
Cash Flow From Continuing Operating Activities,972000000.0,687000000.0,586000000.0,277000000.0,
Change In Working Capital,-61000000.0,-219000000.0,-165000000.0,124000000.0,
Change In Other Working Capital,10000000.0,4000000.0,18000000.0,24000000.0,
Change In Other Current Liabilities,-9000000.0,-30000000.0,-50000000.0,-14000000.0,
Change In Payables And Accrued Expense,89000000.0,50000000.0,-78000000.0,166000000.0,
Change In Accrued Expense,100000000.0,42000000.0,-62000000.0,141000000.0,
Change In Payable,-11000000.0,8000000.0,-16000000.0,25000000.0,
Change In Account Payable,-11000000.0,8000000.0,-16000000.0,25000000.0,
Change In Prepaid Assets,-30000000.0,-58000000.0,-22000000.0,-31000000.0,
Change In Receivables,-121000000.0,-185000000.0,-33000000.0,-21000000.0,
Changes In Account Receivables,-121000000.0,-185000000.0,-33000000.0,-21000000.0,
Other Non Cash Items,-3000000.0,4000000.0,-4000000.0,8000000.0,
Stock Based Compensation,352000000.0,300000000.0,2756000000.0,33000000.0,
Provisionand Write Offof Assets,15000000.0,19000000.0,23000000.0,10000000.0,
Asset Impairment Charge,24000000.0,0.0,0.0,,
Deferred Tax,98000000.0,59000000.0,-459000000.0,-373000000.0,
Deferred Income Tax,98000000.0,59000000.0,-459000000.0,-373000000.0,
Depreciation Amortization Depletion,99000000.0,67000000.0,57000000.0,47000000.0,
Depreciation And Amortization,99000000.0,67000000.0,57000000.0,47000000.0,
Amortization Cash Flow,85000000.0,48000000.0,32000000.0,25000000.0,
Amortization Of Intangibles,85000000.0,48000000.0,32000000.0,25000000.0,
Depreciation,14000000.0,19000000.0,25000000.0,22000000.0,
Net Income From Continuing Operations,447000000.0,457000000.0,-1622000000.0,428000000.0,
