,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2686448000.0,2091498000.0,662922000.0,1381490000.0
Repurchase Of Capital Stock,-1651859000.0,-71835000.0,-918894000.0,-11584000.0
Repayment Of Debt,,,,0.0
Issuance Of Debt,,,,0.0
Issuance Of Capital Stock,,0.0,0.0,6406872000.0
Capital Expenditure,-856047000.0,-955511000.0,-340120000.0,-259891000.0
Interest Paid Supplemental Data,,,,0.0
Income Tax Paid Supplemental Data,306758000.0,133456000.0,101293000.0,0.0
End Cash Position,2553090000.0,2472959000.0,9751824000.0,11341758000.0
Beginning Cash Position,2472959000.0,9751824000.0,11341758000.0,3998203000.0
Effect Of Exchange Rate Changes,15074000.0,29793000.0,892837000.0,-127227000.0
Changes In Cash,65057000.0,-7308658000.0,-2482771000.0,7470782000.0
Financing Cash Flow,-1460539000.0,-417022000.0,-669232000.0,6431263000.0
Cash Flow From Continuing Financing Activities,-1460539000.0,-417022000.0,-669232000.0,6431263000.0
Proceeds From Stock Option Exercised,191320000.0,217712000.0,249662000.0,35975000.0
Cash Dividends Paid,0.0,-562899000.0,0.0,0.0
Common Stock Dividend Paid,0.0,-562899000.0,0.0,0.0
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Issuance,,,0.0,0.0
Net Common Stock Issuance,-1651859000.0,-71835000.0,-918894000.0,6395288000.0
Common Stock Payments,-1651859000.0,-71835000.0,-918894000.0,-11584000.0
Common Stock Issuance,,0.0,0.0,6406872000.0
Net Issuance Payments Of Debt,,,,0.0
Net Long Term Debt Issuance,,,,0.0
Long Term Debt Payments,,,,0.0
Long Term Debt Issuance,,,,0.0
Investing Cash Flow,-2016899000.0,-9938645000.0,-2816581000.0,-601862000.0
Cash Flow From Continuing Investing Activities,-2016899000.0,-9938645000.0,-2816581000.0,-601862000.0
Net Investment Purchase And Sale,-1010751000.0,-8990021000.0,-2466857000.0,-342000000.0
Sale Of Investment,15502326000.0,10272111000.0,2746201000.0,3598000000.0
Purchase Of Investment,-16513077000.0,-19262132000.0,-5213058000.0,-3940000000.0
Net Business Purchase And Sale,-150221000.0,-66000.0,-9928000.0,0.0
Purchase Of Business,-150221000.0,-66000.0,-9928000.0,0.0
Net PPE Purchase And Sale,-855927000.0,-948558000.0,-339796000.0,-259862000.0
Sale Of PPE,120000.0,6953000.0,324000.0,29000.0
Purchase Of PPE,-856047000.0,-955511000.0,-340120000.0,-259891000.0
Operating Cash Flow,3542495000.0,3047009000.0,1003042000.0,1641381000.0
Cash Flow From Continuing Operating Activities,3542495000.0,3047009000.0,1003042000.0,1641381000.0
Change In Working Capital,146393000.0,737713000.0,-41028000.0,603897000.0
Change In Other Working Capital,289505000.0,733183000.0,102322000.0,758221000.0
Change In Other Current Liabilities,-180484000.0,-170789000.0,-143732000.0,-99394000.0
Change In Other Current Assets,4000000.0,0.0,0.0,-4000000.0
Change In Payables And Accrued Expense,-76610000.0,56675000.0,-7858000.0,343266000.0
Change In Payable,-76610000.0,56675000.0,-7858000.0,343266000.0
Change In Account Payable,-28677000.0,24744000.0,10179000.0,13464000.0
Change In Prepaid Assets,133760000.0,123933000.0,13321000.0,-403696000.0
Change In Inventory,-3042000.0,0.0,0.0,
Change In Receivables,-20736000.0,-5289000.0,-5081000.0,9500000.0
Changes In Account Receivables,-17487000.0,-7037000.0,-5982000.0,5997000.0
Other Non Cash Items,-11140000.0,-288042000.0,-43716000.0,1499767000.0
Stock Based Compensation,1143685000.0,1056967000.0,692204000.0,417284000.0
Unrealized Gain Loss On Investment Securities,,,-43716000.0,-6595000.0
Provisionand Write Offof Assets,793000.0,86000.0,336000.0,0.0
Deferred Tax,8538000.0,14083000.0,9324000.0,0.0
Deferred Income Tax,8538000.0,14083000.0,9324000.0,0.0
Depreciation Amortization Depletion,686483000.0,427889000.0,287400000.0,189436000.0
Depreciation And Amortization,686483000.0,427889000.0,287400000.0,189436000.0
Amortization Cash Flow,33504000.0,2158000.0,608000.0,
Amortization Of Intangibles,33504000.0,2158000.0,608000.0,
Depreciation,652979000.0,425731000.0,286792000.0,189436000.0
Operating Gains Losses,717000.0,-905000.0,-8723000.0,2071000.0
Net Foreign Currency Exchange Gain Loss,68000.0,-1088000.0,-8627000.0,1961000.0
Gain Loss On Sale Of PPE,649000.0,183000.0,-96000.0,110000.0
Net Income From Continuing Operations,1567026000.0,1099218000.0,107245000.0,-1071074000.0
