,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,914717000.0,775103000.0,597548000.0,353518000.0,
Repurchase Of Capital Stock,,,,0.0,0.0
Repayment Of Debt,-635737000.0,-297653000.0,0.0,-3000.0,
Issuance Of Debt,0.0,1033606000.0,0.0,0.0,
Issuance Of Capital Stock,,,,,0.0
Capital Expenditure,-135418000.0,-95500000.0,-62406000.0,-64889000.0,
Income Tax Paid Supplemental Data,17649000.0,20993000.0,16505000.0,1595000.0,
End Cash Position,401305000.0,1246983000.0,330339000.0,342288000.0,
Beginning Cash Position,1246983000.0,330339000.0,342288000.0,274463000.0,
Effect Of Exchange Rate Changes,11150000.0,-4202000.0,1183000.0,-1935000.0,
Changes In Cash,-856828000.0,920846000.0,-13132000.0,69760000.0,
Financing Cash Flow,-572483000.0,787083000.0,58279000.0,36023000.0,
Cash Flow From Continuing Financing Activities,-572483000.0,787083000.0,58279000.0,36023000.0,
Net Other Financing Charges,,,,,-245000.0
Proceeds From Stock Option Exercised,63254000.0,51130000.0,58279000.0,36026000.0,
Net Common Stock Issuance,,,,0.0,0.0
Common Stock Payments,,,,0.0,0.0
Common Stock Issuance,,,,,0.0
Net Issuance Payments Of Debt,-635737000.0,735953000.0,0.0,-3000.0,
Net Long Term Debt Issuance,-635737000.0,735953000.0,0.0,-3000.0,
Long Term Debt Payments,-635737000.0,-297653000.0,0.0,-3000.0,
Long Term Debt Issuance,0.0,1033606000.0,0.0,0.0,
Investing Cash Flow,-1334480000.0,-736840000.0,-731365000.0,-384670000.0,
Cash Flow From Continuing Investing Activities,-1334480000.0,-736840000.0,-731365000.0,-384670000.0,
Net Investment Purchase And Sale,-1081080000.0,-634209000.0,-656461000.0,-273903000.0,
Sale Of Investment,2518761000.0,2019033000.0,1901552000.0,1139814000.0,
Purchase Of Investment,-3599841000.0,-2653242000.0,-2558013000.0,-1413717000.0,
Net Business Purchase And Sale,-117982000.0,-7131000.0,-12498000.0,-45878000.0,
Purchase Of Business,-117982000.0,-7131000.0,-12498000.0,-45878000.0,
Net PPE Purchase And Sale,-49578000.0,-34719000.0,-27586000.0,-35261000.0,
Purchase Of PPE,-49578000.0,-34719000.0,-27586000.0,-35261000.0,
Capital Expenditure Reported,-85840000.0,-60781000.0,-34820000.0,-29628000.0,
Operating Cash Flow,1050135000.0,870603000.0,659954000.0,418407000.0,
Cash Flow From Continuing Operating Activities,1050135000.0,870603000.0,659954000.0,418407000.0,
Change In Working Capital,53492000.0,13343000.0,44626000.0,6393000.0,
Change In Other Working Capital,146448000.0,121501000.0,161493000.0,117546000.0,
Change In Other Current Assets,-3806000.0,-1003000.0,1018000.0,-5179000.0,
Change In Payables And Accrued Expense,89517000.0,23984000.0,17284000.0,36292000.0,
Change In Accrued Expense,52889000.0,-1626000.0,-40489000.0,37578000.0,
Change In Payable,36628000.0,25610000.0,57773000.0,-1286000.0,
Change In Account Payable,36628000.0,25610000.0,57773000.0,-1286000.0,
Change In Prepaid Assets,-21299000.0,-26654000.0,-13508000.0,-6565000.0,
Change In Receivables,-157368000.0,-104485000.0,-121661000.0,-135701000.0,
Changes In Account Receivables,-157368000.0,-104485000.0,-121661000.0,-135701000.0,
Other Non Cash Items,107826000.0,83670000.0,68977000.0,52788000.0,
Stock Based Compensation,750671000.0,570336000.0,482300000.0,363154000.0,
Provisionand Write Offof Assets,17024000.0,14847000.0,11933000.0,5215000.0,
Amortization Of Securities,-44516000.0,-51932000.0,-41621000.0,4726000.0,
Depreciation Amortization Depletion,55756000.0,54933000.0,44465000.0,34629000.0,
Depreciation And Amortization,55756000.0,54933000.0,44465000.0,34629000.0,
Operating Gains Losses,2141000.0,1660000.0,706000.0,1662000.0,
Gain Loss On Sale Of PPE,2141000.0,1660000.0,706000.0,1662000.0,
Net Income From Continuing Operations,107741000.0,183746000.0,48568000.0,-50160000.0,
