,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,400931000.0,273144000.0,178779000.0,-116569000.0,
Repurchase Of Capital Stock,0.0,0.0,-250000000.0,-1500000000.0,
Repayment Of Debt,-641691000.0,-414999000.0,0.0,0.0,
Issuance Of Debt,690000000.0,0.0,0.0,1000000000.0,
Issuance Of Capital Stock,,,,0.0,0.0
Capital Expenditure,-22024000.0,-42409000.0,-55921000.0,-57138000.0,
Interest Paid Supplemental Data,20000000.0,20000000.0,20389000.0,0.0,
Income Tax Paid Supplemental Data,10589000.0,26363000.0,22471000.0,25206000.0,
End Cash Position,2064301000.0,1527881000.0,1604267000.0,1505688000.0,
Beginning Cash Position,1527881000.0,1604267000.0,1505688000.0,1066599000.0,
Effect Of Exchange Rate Changes,27398000.0,-11223000.0,-6146000.0,1926000.0,
Changes In Cash,509022000.0,-65163000.0,104725000.0,437163000.0,
Financing Cash Flow,110091000.0,-338307000.0,-174015000.0,-226634000.0,
Cash Flow From Continuing Financing Activities,110091000.0,-338307000.0,-174015000.0,-226634000.0,
Net Other Financing Charges,-57672000.0,,,209873000.0,-70702000.0
Proceeds From Stock Option Exercised,119454000.0,76692000.0,75985000.0,63493000.0,
Net Preferred Stock Issuance,,,,0.0,0.0
Preferred Stock Payments,,,,,0.0
Preferred Stock Issuance,,,,0.0,0.0
Net Common Stock Issuance,0.0,0.0,-250000000.0,-1500000000.0,
Common Stock Payments,0.0,0.0,-250000000.0,-1500000000.0,
Common Stock Issuance,,,,0.0,0.0
Net Issuance Payments Of Debt,48309000.0,-414999000.0,0.0,1000000000.0,
Net Short Term Debt Issuance,,,,,0.0
Short Term Debt Payments,,,,,0.0
Short Term Debt Issuance,,,,,0.0
Net Long Term Debt Issuance,48309000.0,-414999000.0,0.0,1000000000.0,
Long Term Debt Payments,-641691000.0,-414999000.0,0.0,0.0,
Long Term Debt Issuance,690000000.0,0.0,0.0,1000000000.0,
Investing Cash Flow,-24024000.0,-42409000.0,44040000.0,723228000.0,
Cash Flow From Continuing Investing Activities,-24024000.0,-42409000.0,44040000.0,723228000.0,
Net Investment Purchase And Sale,-2000000.0,0.0,99961000.0,658835000.0,
Sale Of Investment,0.0,0.0,102673000.0,824746000.0,
Purchase Of Investment,-2000000.0,0.0,-2712000.0,-165911000.0,
Net Business Purchase And Sale,,0.0,0.0,121531000.0,-1580081000.0
Sale Of Business,,0.0,0.0,121531000.0,
Purchase Of Business,,,0.0,,-1580081000.0
Net Intangibles Purchase And Sale,-3000000.0,-12860000.0,0.0,0.0,
Purchase Of Intangibles,-3000000.0,-12860000.0,0.0,0.0,
Net PPE Purchase And Sale,-19024000.0,-29549000.0,-55921000.0,-57138000.0,
Purchase Of PPE,-19024000.0,-29549000.0,-55921000.0,-57138000.0,
Operating Cash Flow,422955000.0,315553000.0,234700000.0,-59431000.0,
Cash Flow From Continuing Operating Activities,422955000.0,315553000.0,234700000.0,-59431000.0,
Change In Working Capital,18835000.0,-10118000.0,-176203000.0,76998000.0,
Change In Other Working Capital,33822000.0,11194000.0,-128219000.0,166816000.0,
Change In Other Current Liabilities,-44825000.0,-47963000.0,-47245000.0,-29790000.0,
Change In Other Current Assets,33819000.0,-2746000.0,45047000.0,40096000.0,
Change In Payables And Accrued Expense,41026000.0,3241000.0,-87891000.0,-68857000.0,
Change In Accrued Expense,4361000.0,-6671000.0,-21069000.0,-1041000.0,
Change In Payable,36665000.0,9912000.0,-66822000.0,-67816000.0,
Change In Account Payable,-545000.0,742000.0,-6313000.0,-17574000.0,
Change In Tax Payable,,,,,-1296000.0
Change In Income Tax Payable,,,,,-1296000.0
Change In Prepaid Assets,24071000.0,-11203000.0,20314000.0,-21719000.0,
Change In Receivables,-69078000.0,37359000.0,21791000.0,-9548000.0,
Changes In Account Receivables,-69078000.0,37359000.0,21791000.0,-9548000.0,
Other Non Cash Items,-46427000.0,-38062000.0,24613000.0,21418000.0,
Stock Based Compensation,385214000.0,596249000.0,648696000.0,550065000.0,
Asset Impairment Charge,5882000.0,22791000.0,0.0,0.0,
Depreciation Amortization Depletion,460944000.0,408980000.0,563916000.0,211576000.0,
Depreciation And Amortization,460944000.0,408980000.0,563916000.0,211576000.0,
Amortization Cash Flow,418691000.0,353371000.0,515489000.0,172551000.0,
Amortization Of Intangibles,418691000.0,353371000.0,515489000.0,172551000.0,
Depreciation,42253000.0,55609000.0,48427000.0,39025000.0,
Net Income From Continuing Operations,-401493000.0,-664287000.0,-826322000.0,-919488000.0,
